Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Valve Δ%,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C)
KAZAN:KAZAN,KAZAN,KAZAN,IN_BAND,OPTIMAL,7.00,,5.00,+2.00,±3.0,NO DATA,,6.0,Normal,Hedef band içinde,,IN_BAND,Inlet/Outlet (Water),,,19.0,7.0,16.0
AHU:AHU-3,AHU,AHU-3,HIGH,OPTIMAL,12.00,11.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-4.00,+19.00,19.0,7.0,16.0
AHU:AHU-5,AHU,AHU-5,HIGH,OPTIMAL,12.00,8.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-1.00,+19.00,19.0,7.0,16.0
AHU:AHU-10,AHU,AHU-10,HIGH,OPTIMAL,12.00,8.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-3.00,+17.00,19.0,7.0,16.0
AHU:AHU-12,AHU,AHU-12,HIGH,OPTIMAL,12.00,6.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-2.00,+16.00,19.0,7.0,16.0
AHU:AHU-13,AHU,AHU-13,HIGH,OPTIMAL,12.00,4.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-1.00,+15.00,19.0,7.0,16.0
AHU:AHU-15,AHU,AHU-15,HIGH,OPTIMAL,12.00,6.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-1.00,+17.00,19.0,7.0,16.0
AHU:AHU-21,AHU,AHU-21,HIGH,OPTIMAL,12.00,10.00,4.60,,,OPTIMAL,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-4.00,+18.00,19.0,7.0,16.0
AHU:AHU-2,AHU,AHU-2,HIGH,OPTIMAL,12.00,11.00,4.60,,,VALVE_LOW,32.0,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),+15.00,+16.00,19.0,7.0,16.0
AHU:AHU-5,AHU,AHU-5,HIGH,OPTIMAL,12.00,3.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),+2.00,+17.00,19.0,7.0,16.0
AHU:AHU-7,AHU,AHU-7,HIGH,OPTIMAL,12.00,9.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-4.00,+17.00,19.0,7.0,16.0
AHU:AHU-8,AHU,AHU-8,HIGH,OPTIMAL,12.00,6.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-1.00,+17.00,19.0,7.0,16.0
AHU:AHU-10,AHU,AHU-10,HIGH,OPTIMAL,12.00,5.00,4.60,,,VALVE_LOW,26.0,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),+9.00,+16.00,19.0,7.0,16.0
AHU:AHU-16,AHU,AHU-16,HIGH,OPTIMAL,12.00,9.00,4.60,,,VALVE_LOW,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-3.00,+18.00,19.0,7.0,16.0
AHU:AHU-21,AHU,AHU-21,HIGH,OPTIMAL,12.00,10.00,4.60,,,OPTIMAL,,3.0,Yüksek ΔT,ΔT (12.0) > Hedef (4.6),,HIGH_DT,Inlet/Outlet (Water),-4.00,+18.00,19.0,7.0,16.0
CHILLER:CHILLER-1,CHILLER,CHILLER-1,IN_BAND,OPTIMAL,4.00,,3.00,+1.00,±3.0,NO DATA,,3.0,Normal,Hedef band içinde,,IN_BAND,Inlet/Outlet (Water),,,19.0,7.0,16.0
AHU:AHU-4,AHU,AHU-4,IN_BAND,OPTIMAL,10.00,10.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+45.00,+25.00,19.0,7.0,16.0
AHU:AHU-6,AHU,AHU-6,IN_BAND,OPTIMAL,10.00,4.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+31.00,+25.00,19.0,7.0,16.0
AHU:AHU-11,AHU,AHU-11,IN_BAND,OPTIMAL,10.00,5.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+41.00,+26.00,19.0,7.0,16.0
AHU:AHU-14,AHU,AHU-14,IN_BAND,OPTIMAL,10.00,4.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+41.00,+27.00,19.0,7.0,16.0
AHU:AHU-27,AHU,AHU-27,IN_BAND,OPTIMAL,10.00,5.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+32.00,+27.00,19.0,7.0,16.0
AHU:AHU-9,AHU,AHU-9,IN_BAND,OPTIMAL,10.00,6.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+42.00,+26.00,19.0,7.0,16.0
AHU:AHU-11,AHU,AHU-11,IN_BAND,OPTIMAL,10.00,3.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+38.00,+25.00,19.0,7.0,16.0
AHU:AHU-12,AHU,AHU-12,IN_BAND,OPTIMAL,10.00,6.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+42.00,+26.00,19.0,7.0,16.0
AHU:AHU-14,AHU,AHU-14,IN_BAND,OPTIMAL,10.00,6.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+42.00,+26.00,19.0,7.0,16.0
AHU:AHU-15,AHU,AHU-15,IN_BAND,OPTIMAL,10.00,8.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+44.00,+26.00,19.0,7.0,16.0
AHU:AHU-20,AHU,AHU-20,IN_BAND,OPTIMAL,10.00,6.00,10.00,,±3.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+43.00,+27.00,19.0,7.0,16.0
AHU:AHU-24,AHU,AHU-24,IN_BAND,OPTIMAL,10.00,6.00,10.00,,±5.0,OPTIMAL,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+32.00,+28.00,19.0,7.0,16.0
AHU:AHU-26,AHU,AHU-26,IN_BAND,OPTIMAL,10.00,7.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+44.00,+27.00,19.0,7.0,16.0
AHU:AHU-27,AHU,AHU-27,IN_BAND,OPTIMAL,10.00,6.00,10.00,,±5.0,OPTIMAL,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+32.00,+28.00,19.0,7.0,16.0
AHU:AHU-29,AHU,AHU-29,IN_BAND,OPTIMAL,10.00,7.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+42.00,+25.00,19.0,7.0,16.0
AHU:AHU-33,AHU,AHU-33,IN_BAND,OPTIMAL,10.00,3.00,10.00,,±5.0,VALVE_LOW,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+32.00,+25.00,19.0,7.0,16.0
