Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C),Tekrar (Bu Ay)
AHU:Ahu-28,AHU,Ahu-28,HIGH,WARNING,16.05,16.05,8.00,+8.05,,OPTIMAL,16.1,6.0,Yüksek ΔT,ΔT (16.1) > Hedef (8.0),HIGH_DT,Supply/Return (Air),+10.05,+24.94,7.06,9.24,24.7,
AHU:Ahu-3,AHU,Ahu-3,LOW,WARNING,4.44,4.44,8.00,-3.56,,VALVE_LOW,18.7,6.0,Düşük ΔT,ΔT (4.4) < Hedef (8.0),LOW_DT,Supply/Return (Air),+12.60,+15.88,7.06,9.24,24.7,
AHU:Ahu-30,AHU,Ahu-30,HIGH,WARNING,15.83,15.83,8.00,+7.83,,OPTIMAL,15.0,6.0,Yüksek ΔT,ΔT (15.8) > Hedef (8.0),HIGH_DT,Supply/Return (Air),+7.07,+21.74,7.06,9.24,24.7,
AHU:Ahu-9,AHU,Ahu-9,LOW,WARNING,1.41,1.41,8.00,-6.59,,VALVE_LOW,21.3,6.0,Düşük ΔT,ΔT (1.4) < Hedef (8.0),LOW_DT,Supply/Return (Air),+15.20,+15.45,7.06,9.24,24.7,
Collector:Sogutma Kollektoru,Collector,Sogutma Kollektoru,LOW,WARNING,2.18,,10.00,-7.82,±1.0,NO DATA,,6.0,ΔT Hedef Altında - Akış Azalt,ΔT (2.2°C) < Hedef (10.0°C),BAND_LOW,Inlet/Outlet (Water),,,7.06,9.24,24.7,
Collector:Sogutma Kollektoru,Collector,Sogutma Kollektoru,LOW,WARNING,1.16,,10.00,-8.84,±1.0,NO DATA,,6.0,ΔT Hedef Altında - Akış Azalt,ΔT (1.2°C) < Hedef (10.0°C),BAND_LOW,Inlet/Outlet (Water),,,7.06,9.24,24.7,
AHU:Ahu-6,AHU,Ahu-6,HIGH,WARNING,10.93,10.93,8.00,+2.93,,VALVE_LOW,16.1,5.9,Yüksek ΔT,ΔT (10.9) > Hedef (8.0),HIGH_DT,Supply/Return (Air),+10.04,+19.81,7.06,9.24,24.7,
AHU:Ahu-21,AHU,Ahu-21,HIGH,WARNING,10.70,10.70,8.00,+2.70,,VALVE_LOW,,5.4,Yüksek ΔT,ΔT (10.7) > Hedef (8.0),HIGH_DT,Supply/Return (Air),+6.92,+16.46,7.06,9.24,24.7,
AHU:Ahu-10,AHU,Ahu-10,MISSING_DATA,CRITICAL,,,8.00,,N/A,VALVE_LOW,,5.0,Veri Eksik,,MISSING_DATA,,,+16.65,7.06,9.24,24.7,
AHU:Ahu-11,AHU,Ahu-11,LOW,WARNING,5.92,5.92,8.00,-2.08,,OPTIMAL,16.7,5.0,Düşük ΔT,ΔT (5.9) < Hedef (8.0),LOW_DT,Supply/Return (Air),+10.64,+15.40,7.06,9.24,24.7,
AHU:Ahu-13,AHU,Ahu-13,HIGH,WARNING,6.25,6.25,5.17,+1.08,,VALVE_LOW,,5.0,Yüksek ΔT,ΔT (6.2) > Hedef (5.2),HIGH_DT,Supply/Return (Air),+6.87,+11.96,7.06,9.24,24.7,
AHU:Ahu-14,AHU,Ahu-14,HIGH,WARNING,9.20,9.20,7.97,+1.23,,VALVE_LOW,,5.0,Yüksek ΔT,ΔT (9.2) > Hedef (8.0),HIGH_DT,Supply/Return (Air),+6.72,+14.76,7.06,9.24,24.7,
AHU:Ahu-14,AHU,Ahu-14,LOW,WARNING,5.93,5.93,8.00,-2.07,,OPTIMAL,16.4,5.0,Düşük ΔT,ΔT (5.9) < Hedef (8.0),LOW_DT,Supply/Return (Air),+10.32,+15.09,7.06,9.24,24.7,
AHU:Ahu-15,AHU,Ahu-15,HIGH,WARNING,8.40,8.40,7.34,+1.06,,VALVE_LOW,,5.0,Yüksek ΔT,ΔT (8.4) > Hedef (7.3),HIGH_DT,Supply/Return (Air),+6.89,+14.13,7.06,9.24,24.7,
AHU:Ahu-17,AHU,Ahu-17,HIGH,WARNING,6.97,6.97,5.53,+1.44,,OPTIMAL,,5.0,Yüksek ΔT,ΔT (7.0) > Hedef (5.5),HIGH_DT,Supply/Return (Air),+6.51,+12.32,7.06,9.24,24.7,
AHU:Ahu-19,AHU,Ahu-19,MISSING_DATA,CRITICAL,,,4.86,,N/A,NO DATA,,5.0,Veri Eksik,,MISSING_DATA,,,+11.65,7.06,9.24,24.7,
